review_id,review_score,review_text_pt,review_text_zh_tw,首輪標註客戶討論業務面向
13164d9da17abb1a513eb773bff4f274,1,Recebi pedido incompleto Paguei por 2 unidades do Perfume Miss Gabriela Night e recebi apenas 1 unidade.,收到的訂單不完整。我買了兩瓶 Miss Gabriela Night 香水，卻只收到一瓶。,訂單缺件
b190c1c98294a0aa6beca27daff6886c,1,Produto mal embalado Produto chegou com risco e manchado.,商品包裝不良，收到時已有刮痕和污漬。,包裝不良
ecf05388b2201007af96097c09e68c6d,1,recebi o produto quebrado e aguardo retorno da lannister,收到的商品已經破損，目前仍在等待 Lannister 回覆。,包裝不良
47a4f48be34dd4a1c24b24a173ed1f6d,1,"Minha compra foi entregue para outra pessoa.
Recebi uma pe?a que n?o comprei",我的商品被送給了別人，我反而收到一件自己沒有購買的商品。,訂單內容錯誤
f87e60d60e2e4f3e9e761a395a73fc56,1,"Faltou item descrito
Me ligue 34 99978 4951",少了商品說明中列出的品項，請打電話給我：34 99978 4951。,訂單缺件
2b52bb84c9aa716e2216ebde5eb80aa7,1,"acho uma safadeza o jeito que vcs trabalham.
comprei a mercadoria e ate agora n?o recebi",你們這種做事方式真的很不厚道。我買了商品，到現在都還沒收到。,運送延遲
8a849ac327d5b8890223010dad7f72b1,1,Ainda n?o recebi o produto. Preciso dele com urg?ncia,我還沒收到商品，而且急著需要使用。,運送延遲
2f88ed5378af93b3fe40c77ad5eff7cc,1,"Primeiro: estou tentando devolver um produto mais n?o me d?o solu??es...
Segundo : me d?o vale sem primeiro pegarem minha devolu??o e sem contar o produto que pedi n?o ter chegado..",第一，我想退貨，但一直得不到解決方案。第二，商品還沒送到，他們就先給我購物金，甚至都還沒收回我要退的商品。," 客服沒有解決問題,
優惠卷發放問題
"
e70abd3068dcaa36295eebd3abf07bb3,1,"Estou insatisfeita pois n?o recebi o produto que comprei. Comprei um carregador Asus para Zenfone Asus Selfie.
Os cabos que chegaram n?o serve para o meu celular.",我很不滿，因為沒有收到購買的商品。我買的是 ASUS Zenfone Selfie 的充電器，收到的線卻不適用於我的手機。, 訂單內容錯誤
da12d47f5616024c216d6a5ad19ec5ac,1,Ap?s o produto faturado a loja enviou e-mail que n?o poderia entregar por falta de estoque. Ao buscar pela compra na internet a loja disponibiliza o produto para venda por um pre?o superior,商品開立發票後，商店才寄信說因缺貨無法出貨；但我上網搜尋時，卻發現商店仍以更高價格販售同一商品。, 報價問題，價格變動，和首次購買不同
aed75d37ad5c9ceaaf2fea225ec2ca55,1,"Total descaso! N?o respondeu nenhum de meus e-mails, n?o deu satisfa??o nenhuma a respeito! P?ssimo vendedor!",完全不受重視！賣家不回覆任何電子郵件，也沒有做出任何說明，服務非常差！,客服沒有解決問題
8f68f6f7b52f647428efdec4e1a9b02a,1,Ol? boa tarde! O produto n?o encaixou chegou sem algumas travas e n?o encaixou.,您好！商品缺少幾個卡扣，因此無法正確安裝。, 訂單缺零件 
af278ff8bd6566d8298010a901f3118c,1,O rem?dio n?o ? Original,這個藥不是原廠正品。,商品不是正品
7fb3cda2a758c1efe3486137c2db84e0,1,"Minha solicita??o de devolu??o do produto n?o foi respondida pelo vendedor targaryen, mesmo estando dentro do prazo legal para desist?ncia em compras on-line.",我仍在網購法定猶豫期內，但賣家 Targaryen 沒有回覆我的退貨申請。, 賣家服務態度不佳
c26b6df817496dec9356ec34768f8b85,1,"N?o recomendo Recebi a caixa lacrada, mas a caixa do rel?gio estava vazia. Procurei um site de confian?a para comprar meu rel?gio e acabei recebendo uma caixa vazia. Isso ? um absurdo.",不推薦。收到的外箱雖然密封完整，但手錶盒裡竟然是空的。我特地找可信賴的網站購買，最後卻只收到空盒，實在太離譜。, 訂單只有包裝沒有物品
f01aaa0150e499f0c268f8efc9d2182f,1,Recebi apenas 1 Comprei 2 e recebi apenas 1 unidade do produto. N?o veio nenhum comunicado ou justificativa. Aguardo regulariza??o da situa??o.,我買了兩件商品，卻只收到一件，也沒有收到任何通知或說明。請儘快處理。, 訂單缺件
6d096d02c248a56919a9a5a2b1c54e50,1,"Falta de respeito com consumidor; produto mal embalado, vidros sem lacre vazando; n?o recebi autoriza??o de devolu??o, mesmo tendo reclamado no dia da entrega; o pior, terei que levar ao correio",完全不尊重消費者。商品包裝不良，玻璃瓶沒有封好而漏液；我在到貨當天就反映，卻一直沒拿到退貨授權，最後還得自己拿去郵局。," 商品包裝不良, 客服沒有解決問題"
698fb68c30b88520d0eda78d0755fa4c,1,P?ssima compra n?o recebi o produto ? nenhuma retorno.,非常糟糕的購物經驗，商品沒收到，也完全沒有人回覆。, 客服沒有解決問題
